table_name,variable_name,mandatory,format
PERSONS,person_id,Y,varchar
PERSONS,sex_at_instance_creation,Y,varchar
PERSONS,date_of_birth,Y,date
OBSERVATION_PERIODS,person_id,Y,varchar
OBSERVATION_PERIODS,op_start_date,Y,date
OBSERVATION_PERIODS,op_end_date,Y,date
EVENTS,person_id,Y,varchar
EVENTS,start_date_record,Y,date
EVENTS,end_date_record,N,date
EVENTS,event_code,Y,varchar
EVENTS,event_code_vocabulary,Y,varchar
EVENTS,meaning,Y,varchar
MEDICINES,person_id,Y,varchar
MEDICINES,date_dispensing,Y,date
MEDICINES,medicinal_product_id,Y,varchar
MEDICINES,meaning,Y,varchar
VACCINES,person_id,Y,varchar
VACCINES,vx_admin_date,Y,date
VACCINES,vx_record_date,Y,date
VACCINES,vx_type,Y,varchar
PROCEDURES,person_id,Y,varchar
PROCEDURES,procedure_date,Y,date
PROCEDURES,procedure_code,Y,varchar
MEDICAL_OBSERVATIONS,person_id,Y,varchar
MEDICAL_OBSERVATIONS,mo_date,Y,date
MEDICAL_OBSERVATIONS,mo_code,Y,varchar
